"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,-2672,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,3754,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,873,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,844,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,764,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,1579,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,2244,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,3140,,
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,1022,"P","Provisional value"
NLD,"Netherlands","P52","Changes in inventories","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,1913,"P","Provisional value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1969","1969","EUR","Euro","6","Millions",,,17732.1317,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1970","1970","EUR","Euro","6","Millions",,,20937.032,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1971","1971","EUR","Euro","6","Millions",,,23759.3654,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1972","1972","EUR","Euro","6","Millions",,,26882.8027,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1973","1973","EUR","Euro","6","Millions",,,32561.4983,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1974","1974","EUR","Euro","6","Millions",,,43334.2117,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1975","1975","EUR","Euro","6","Millions",,,43662.1262,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1976","1976","EUR","Euro","6","Millions",,,51362.9613,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1977","1977","EUR","Euro","6","Millions",,,51934.2337,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1978","1978","EUR","Euro","6","Millions",,,53194.3329,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1979","1979","EUR","Euro","6","Millions",,,63136.9483,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1980","1980","EUR","Euro","6","Millions",,,71611.1666,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1981","1981","EUR","Euro","6","Millions",,,82757.1664,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1982","1982","EUR","Euro","6","Millions",,,86028.0621,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1983","1983","EUR","Euro","6","Millions",,,89055.5998,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1984","1984","EUR","Euro","6","Millions",,,100844.0233,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1985","1985","EUR","Euro","6","Millions",,,107435.3111,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1986","1986","EUR","Euro","6","Millions",,,92493.5463,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1987","1987","EUR","Euro","6","Millions",,,90022.8445,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1988","1988","EUR","Euro","6","Millions",,,98133.0571,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1989","1989","EUR","Euro","6","Millions",,,110201.9609,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1990","1990","EUR","Euro","6","Millions",,,115160.8945,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1991","1991","EUR","Euro","6","Millions",,,120852.9954,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1992","1992","EUR","Euro","6","Millions",,,120247.6941,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1993","1993","EUR","Euro","6","Millions",,,120755.0335,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1994","1994","EUR","Euro","6","Millions",,,132784.7526,"E","Estimated value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,148867,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,154854,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,173169,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,180848,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,192177,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,233076,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,235447,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,229437,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,231428,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,256337,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,281680,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,314930,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,336377,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,354202,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,292382,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,342992,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,382032,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,405627,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,407564,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2014","2014","EUR","Euro","6","Millions",,,409005,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2015","2015","EUR","Euro","6","Millions",,,418373,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2016","2016","EUR","Euro","6","Millions",,,420899,,
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2017","2017","EUR","Euro","6","Millions",,,462146,"P","Provisional value"
NLD,"Netherlands","P61","Exports of goods","C","Current prices","2018","2018","EUR","Euro","6","Millions",,,483910,"P","Provisional value"
